"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","19540","","","","0"
"1961-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","19924","","","","0"
"1961-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","20408","","","","0"
"1961-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","20712","","","","0"
"1962-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","21112","","","","0"
"1962-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","21572","","","","0"
"1962-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","21908","","","","0"
"1962-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","22124","","","","0"
"1963-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","22408","","","","0"
"1963-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","22840","","","","0"
"1963-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","23332","","","","0"
"1963-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","23860","","","","0"
"1964-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","24392","","","","0"
"1964-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","24816","","","","0"
"1964-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","25604","","","","0"
"1964-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","26148","","","","0"
"1965-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","26900","","","","0"
"1965-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","27524","","","","0"
"1965-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","28436","","","","0"
"1965-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","29444","","","","0"
"1966-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","30200","","","","0"
"1966-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","31036","","","","0"
"1966-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","31720","","","","0"
"1966-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","32716","","","","0"
"1967-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","33732","","","","0"
"1967-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","34488","","","","0"
"1967-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Wages and salaries","Dollars","81","millions","6","v62468795","1.1.5","35208","","","","0"
